;obj.è.;Jaz.název;cena s DPH, WEB bez dalších slev
Proteco 11.BSW2-9-6080;11.BSW2-9-6080;spona hadicová  60-80 mm, šíøka 9mm W2;7
Proteco 11.BSW2-9-7090;11.BSW2-9-7090;spona hadicová  70-90 mm, šíøka 9mm W2;7
Proteco 11.BSW2-9-80100;11.BSW2-9-80100;spona hadicová  80-100 mm, šíøka 9mm W2;7
Proteco 11.BSW4-12-1627;11.BSW4-12-1627;spona hadicová  16-27 mm, šíøka 12mm W4;12
Proteco 11.BSW4-12-2032;11.BSW4-12-2032;spona hadicová  20-32 mm, šíøka 12mm W4;13
Proteco 11.BSW4-12-2540;11.BSW4-12-2540;spona hadicová  25-40 mm, šíøka 12mm W4;12
Proteco 11.BSW4-12-3250;11.BSW4-12-3250;spona hadicová  32-50 mm, šíøka 12mm W4;14
Proteco 11.BSW4-12-4060;11.BSW4-12-4060;spona hadicová  40-60 mm, šíøka 12mm W4;14
Proteco 11.BSW4-12-5070;11.BSW4-12-5070;spona hadicová  50-70 mm, šíøka 12mm W4;16
Proteco 11.BSW4-9-0812;11.BSW4-9-0812;spona hadicová  08-12 mm, šíøka 9mm W4;9
Proteco 11.BSW4-9-1016;11.BSW4-9-1016;spona hadicová  10-16 mm, šíøka 9mm W4;9
Proteco 11.BSW4-9-1222;11.BSW4-9-1222;spona hadicová  12-22 mm, šíøka 9mm W4;9
Proteco 11.BSW4-9-1627;11.BSW4-9-1627;spona hadicová  16-27 mm, šíøka 9mm W4;9
Proteco 11.BSW4-9-2032;11.BSW4-9-2032;spona hadicová  20-32 mm, šíøka 9mm W4;10
Proteco 11.BSW4-9-2540;11.BSW4-9-2540;spona hadicová  25-40 mm, šíøka 9mm W4;13
Proteco 11.BSW4-9-3250;11.BSW4-9-3250;spona hadicová  32-50 mm, šíøka 9mm W4;12
Proteco 11.BSW4-9-4060;11.BSW4-9-4060;spona hadicová  40-60 mm, šíøka 9mm W4;13
Proteco 11.BSWG-9-0812;11.BSWG-9-0812;spona hadicová    8-12 mm, šíøka 9mm W2 s motılkem;149
Proteco 11.BSWG-9-1016;11.BSWG-9-1016;spona hadicová  10-16 mm, šíøka 9mm W2 s motılkem;149
Proteco 11.BSWG-9-1220;11.BSWG-9-1220;spona hadicová  12-20 mm, šíøka 9mm W2 s motılkem;149
Proteco 11.BSWG-9-1627;11.BSWG-9-1627;spona hadicová  16-27 mm, šíøka 9mm W2 s motılkem;149
Proteco 11.BSWG-9-2035;11.BSWG-9-2035;spona hadicová  20-35 mm, šíøka 9mm W2 s motılkem;149
Proteco 11.BSWG-9-2540;11.BSWG-9-2540;spona hadicová  25-40 mm, šíøka 9mm W2 s motılkem;149
Proteco 11.BSWG-9-3045;11.BSWG-9-3045;spona hadicová  30-45 mm, šíøka 9mm W2 s motılkem;149
Proteco 11.BSWG-9-4060;11.BSWG-9-4060;spona hadicová  40-60 mm, šíøka 9mm W2 s motılkem;149
Proteco 11.ECO-2046;11.ECO-2046;postøikovaè pistolovı jednoduchı kovovı HOBBY;134
Proteco 11.ECO-2048;11.ECO-2048;postøikovaè pistolovı 8 funkcí kovovı HOBBY;134
Proteco 11.ECO-2100;11.ECO-2100;postøikovaè pistolovı jednoduchı plastovı;60
Proteco 11.ECO-2108;11.ECO-2108;postøikovaè pistolovı 7 funkcí plastovı FLIPER;56
Proteco 11.ECO-2109;11.ECO-2109;postøikovaè pistolovı 6 funkcí plastovı;52
Proteco 11.ECO-2807;11.ECO-2807;zavlaovaè tryskovı vıkyvnı, 20 mosaz.trysek;270
Proteco 11.ECO-4442;11.ECO-4442;postøikovaè pistolovı 7 funkcí plastovı QUICK STOP;68
Proteco 11.ECO-4444;11.ECO-4444;"kopí postøikovací 7 funkcí 26"" QUICK STOP";153
Proteco 11.ECO-4480;11.ECO-4480;postøikovaè pistolovı 6 funkcí plastovı;64
Proteco 11.ES-2047A;11.ES-2047A;houba mycí velká;28
Proteco 11.ES-2111A;11.ES-2111A;stìrka telesk. (70-120cm) na mytí oken s houb. a gum.lištou 25cm;147
Proteco 11.ES-2354A;11.ES-2354A;kartáè èistící s teleskopickou rukojetí (110-180cm);393
Proteco 11.ES-2356;11.ES-2356;kartáè èistící s teleskopickou rukojetí (140-300cm);496
Proteco 11.ES-2361;11.ES-2361;stìrka silikonová;114
Proteco 11.ES-2471;11.ES-2471;houba mycí bavlnìná;97
Proteco 11.ES-2493;11.ES-2493;houba mycí z mikrovláken;53
Proteco 11.ES-9409;11.ES-9409;stìrka na mytí oken s houbièkou a gum.lištou 21cm s døev.násadou;50
Proteco 11.ES-9439;11.ES-9439;stìrka na mytí oken s houbièkou a gum.lištou 21cm;55
Proteco 11.FFL-3/4-50;11.FFL-3/4-50;"hadice zahradní 3/4"" 50m NTS FLASH 5-vrstvá";2331
Proteco 11.GBS-94-24;11.GBS-94-24;spona hadicová 94/24mm GBS W1 (92-97);28
Proteco 11.GBSH-104-112;11.GBSH-104-112;spona hadicová 104-112/24mm GBS W1 lutá;26
Proteco 11.GBSH-113-121;11.GBSH-113-121;spona hadicová 113-121/24mm GBS W1 lutá;27
Proteco 11.GBSH-140-148;11.GBSH-140-148;spona hadicová 140-148/26mm GBS W1 lutá;35
Proteco 11.GBSH-48-51;11.GBSH-48-51;spona hadicová 48-51/22mm GBS W1 lutá;16
Proteco 11.GBSH-52-55;11.GBSH-52-55;spona hadicová 52-55/22mm GBS W1 lutá;16
Proteco 11.GBSH-56-59;11.GBSH-56-59;spona hadicová 56-59/22mm GBS W1 lutá;17
Proteco 11.GBSH-60-63;11.GBSH-60-63;spona hadicová 60-63/22mm GBS W1 lutá;17
Proteco 11.GBSH-64-67;11.GBSH-64-67;spona hadicová 64-67/22mm GBS W1 lutá;19
Proteco 11.GBSH-68-73;11.GBSH-68-73;spona hadicová 68-73/24mm GBS W1 lutá;22
Proteco 11.GBSH-74-79;11.GBSH-74-79;spona hadicová 74-79/24mm GBS W1 lutá;23
Proteco 11.GBSH-80-85;11.GBSH-80-85;spona hadicová 80-85/24mm GBS W1 lutá;23
Proteco 11.GBSH-86-91;11.GBSH-86-91;spona hadicová 86-91/24mm GBS W1 lutá;23
Proteco 11.GBSH-92-97;11.GBSH-92-97;spona hadicová 92-97/24mm GBS W1 lutá;24
Proteco 11.GBSH-98-103;11.GBSH-98-103;spona hadicová 98-103/24mm GBS W1 lutá;25
Proteco 11.GKI-101;11.GKI-101;"konektor 1/2"" 13mm mosaz s bajonetovım pøipevnìním";49
Proteco 11.GKI-103;11.GKI-103;"konektor 3/4"" 19mm mosaz s bajonetovım pøipevnìním";53
Proteco 11.GKI-111;11.GKI-111;"koncovka s vnitø.závitem 3/4"" mosaz s bajonetovım upínáním";48
Proteco 11.GKI-111A;11.GKI-111A;"koncovka s vnìjš.závitem 3/4"" mosaz s bajonetovım upínáním";48
Proteco 11.GKI-200C;11.GKI-200C;tìsnìní pro bajonetové závity;6
Proteco 11.GKI-334C;11.GKI-334C;rozdvojka s bajonetovımi závity mosaz;309
Proteco 11.GL-3501;11.GL-3501;"vozík na zahr.hadici, 1/2"" 60m s koleèky AQUA-REEL";469
Proteco 11.GL-5705;11.GL-5705;"nástavec ventilovı 1/2"" GOLD LINE";9
Proteco 11.GL-5801;11.GL-5801;"konektor pøímého napojení  3/4"" GOLD LINE";5
Proteco 11.GL-5803;11.GL-5803;mezikus spojovací pro tøi rychlospojky GOLD LINE;9
Proteco 11.GL-5804;11.GL-5804;mezikus spojovací pro dvì rychlospojky GOLD LINE;7
Proteco 11.GL-5805;11.GL-5805;"nástavec ventilovı 3/4"" GOLD LINE";9
Proteco 11.GL-5807;11.GL-5807;"nástavec ventilovı  3/4"" a 1"" GOLD LINE";10
Proteco 11.GL-5808;11.GL-5808;"spojka hadicová  1/2""  a   5/8"" GOLD LINE";8
Proteco 11.GL-5809P;11.GL-5809P;"rychlospojka  1/2"" a 5/8"" GOLD LINE";12
Proteco 11.GL-5810P;11.GL-5810P;rychlospojka hadicová 1/2 a 5/8  STOP GOLD LINE;12
Proteco 11.GL-5811;11.GL-5811;"nástavec ventilovı  1"" GOLD LINE";9
Proteco 11.GL-5812;11.GL-5812;"nástavec ventilovı  3/4"" a 1/2"" GOLD LINE";8
Proteco 11.GL-5814P;11.GL-5814P;sada 4 - dílná postøikovaè a univ.spojky GOLD LINE;40
Proteco 11.GL-5818;11.GL-5818;"spojka hadic 3/4""  GOLD LINE";12
Proteco 11.GL-5819P;11.GL-5819P;"rychlospojka  3/4"" GOLD LINE";14
Proteco 11.GL-5820P;11.GL-5820P;"rychlospojka hadicová  3/4""  STOP GOLD LINE";14
Proteco 11.GL-5904;11.GL-5904;"spojka na dvì rychlospojky 3/4""";13
Proteco 11.GL-5910;11.GL-5910;"nástavec s vnitøním závitem 1""";10
Proteco 11.GL-7201P;11.GL-7201P;postøikovaè jednoduchı nastavitelnı GOLD LINE;15
Proteco 11.GL-7202P;11.GL-7202P;postøikovaè pistolovı 8 funkcí  GOLD LINE;67
Proteco 11.GL-7206;11.GL-7206;postøikovaè pistolovı jednoduchı ocel GOLD LINE;143
Proteco 11.GL-7206D;11.GL-7206D;postøikovaè pistolovı ocel/chrom GOLD LINE;160
Proteco 11.GL-7208P;11.GL-7208P;postøikovaè  pistol.  jednoduchı plastovı GOLD LINE;48
Proteco 11.GL-8103DPB;11.GL-8103DPB;postøikovaè pulzní plast zapichovací GOLD LINE;65
Proteco 11.GL-8109PB;11.GL-8109PB;postøikovaè pulzní na podstavci GOLD LINE;108
Proteco 11.KT-Y6001;11.KT-Y6001;lopatka sázecí široká 36cm;57
Proteco 11.KT-Y6002;11.KT-Y6002;lopatka sázecí úzká 36cm;55
Proteco 11.KT-Y6003;11.KT-Y6003;drápek 3-hrotı 38cm;55
Proteco 11.KT-Y6004;11.KT-Y6004;hrabièky 5-hroté 33cm;49
Proteco 11.KT-Y6005;11.KT-Y6005;okopávaèka s ostøím a 3 hroty 33cm;64
Proteco 11.KT-Y6006;11.KT-Y6006;hrábì lamelové 39cm;61
Proteco 11.LE-7208;11.LE-7208;pistole postøikovací LIME EDITION;46
Proteco 11.OBKT-25;11.OBKT-25;kotva 25cm pro plastové obrubníky RIM-BORD;5
Proteco 11.OBP-1202-002BN;11.OBP-1202-002BN;palisáda plastová 2,5m hnìdá;215
Proteco 11.OBRB-55;11.OBRB-55;obrubník plastovı 55/1000mm RIM-BORD;82
Proteco 11.PB-9350;11.PB-9350;hadice na PB 9x3 50m;22
Proteco 11.P-KP6;11.P-KP6;koncovka k huštìní kol 6mm;13
Proteco 11.P-KP6R;11.P-KP6R;koncovka k huštìní kol 6mm mosaz;25
Proteco 11.P-KP8;11.P-KP8;koncovka k huštìní kol 8mm;15
Proteco 11.P-KP8R;11.P-KP8R;koncovka k huštìní kol 8mm mosaz;27
Proteco 11.PL-10-10;11.PL-10-10;plachta zakrıvací  10 x 10 m  s oky 60g/m2;653
Proteco 11.PL-10-12;11.PL-10-12;plachta zakrıvací  10 x 12 m  s oky 60g/m2;784
Proteco 11.PL-10-15;11.PL-10-15;plachta zakrıvací  10 x 15 m  s oky 60g/m2;980
Proteco 11.PL-10-20;11.PL-10-20;plachta zakrıvací  10 x 20 m  s oky 60g/m2;1302
Proteco 11.PL-12010-12;11.PL-12010-12;plachta zakrıvací  10 x 12 m  s oky 120g/m2;1692
Proteco 11.PL-12010-15;11.PL-12010-15;plachta zakrıvací  10 x 15 m  s oky 120g/m2;2115
Proteco 11.PL-1202-3;11.PL-1202-3;plachta zakrıvací  2 x 3 m  s oky 120g/m2;84
Proteco 11.PL-1203-4;11.PL-1203-4;plachta zakrıvací  3 x 4 m  s oky 120g/m2;165
Proteco 11.PL-1203-5;11.PL-1203-5;plachta zakrıvací  3 x 5 m  s oky 120g/m2;206
Proteco 11.PL-1204-5;11.PL-1204-5;plachta zakrıvací  4 x 5 m  s oky 120g/m2;279
Proteco 11.PL-1204-6;11.PL-1204-6;plachta zakrıvací  4 x 6 m  s oky 120g/m2;329
Proteco 11.PL-1205-8;11.PL-1205-8;plachta zakrıvací  5 x 8 m  s oky 120g/m2;549
Proteco 11.PL-1206-10;11.PL-1206-10;plachta zakrıvací  6 x 10 m  s oky 120g/m2;823
Proteco 11.PL-1206-8;11.PL-1206-8;plachta zakrıvací  3 x 4 m  s oky 120g/m2;670
Proteco 11.PL-1208-12;11.PL-1208-12;plachta zakrıvací  8 x 12 m  s oky 120g/m2;1341
Proteco 11.PL-12-15;11.PL-12-15;plachta zakrıvací  12 x 15 m  s oky 60g/m2;1203
Proteco 11.PL-12-18;11.PL-12-18;plachta zakrıvací  12 x 18 m  s oky 60g/m2;1411
Proteco 11.PL-15-16;11.PL-15-16;plachta zakrıvací  15 x 16 m  s oky 60g/m2;1568
Proteco 11.PL-15-20;11.PL-15-20;plachta zakrıvací  15 x 20 m  s oky 60g/m2;1960
Proteco 11.PL-20-20;11.PL-20-20;plachta zakrıvací  20 x 20 m  s oky 60g/m2;2673
Proteco 11.PL-3-3;11.PL-3-3;plachta zakrıvací  3 x 3 m  s oky 60g/m2;59
Proteco 11.PL-4-8;11.PL-4-8;plachta zakrıvací  4 x 8 m  s oky 60g/m2;220
Proteco 11.PL-6-12;11.PL-6-12;plachta zakrıvací  6 x 12 m  s oky 60g/m2;470
Proteco 11.PL-6-8;11.PL-6-8;plachta zakrıvací  6 x 8 m  s oky 60g/m2;321
Proteco 11.PL-8-10;11.PL-8-10;plachta zakrıvací  8 x 10 m  s oky 60g/m2;523
Proteco 11.PL-9010-12;11.PL-9010-12;plachta zakrıvací  10 x 12 m  s oky 90g/m2;1282
Proteco 11.PL-9010-15;11.PL-9010-15;plachta zakrıvací  10 x 15 m  s oky 90g/m2;1623
Proteco 11.PL-9012-18;11.PL-9012-18;plachta zakrıvací  12 x 18 m  s oky 90g/m2;2338
Proteco 11.PL-9015-20;11.PL-9015-20;plachta zakrıvací  15 x 20 m  s oky 90g/m2;3174
Proteco 11.PL-902-3;11.PL-902-3;plachta zakrıvací  2 x 3 m  s oky 90g/m2;63
Proteco 11.PL-903-3;11.PL-903-3;plachta zakrıvací  3 x 3 m  s oky 90g/m2;93
Proteco 11.PL-903-4;11.PL-903-4;plachta zakrıvací  3 x 4 m  s oky 90g/m2;128
Proteco 11.PL-903-5;11.PL-903-5;plachta zakrıvací  3 x 5 m  s oky 90g/m2;159
Proteco 11.PL-904-5;11.PL-904-5;plachta zakrıvací  4 x 5 m  s oky 90g/m2;207
Proteco 11.PL-904-6;11.PL-904-6;plachta zakrıvací  4 x 6 m  s oky 90g/m2;249
Proteco 11.PL-905-8;11.PL-905-8;plachta zakrıvací  5 x 8 m  s oky 90g/m2;423
Proteco 11.PL-906-10;11.PL-906-10;plachta zakrıvací  6 x 10 m  s oky 90g/m2;649
Proteco 11.PL-906-12;11.PL-906-12;plachta zakrıvací  6 x 12 m  s oky 90g/m2;779
Proteco 11.PL-906-8;11.PL-906-8;plachta zakrıvací  6 x 8 m  s oky 90g/m2;513
Proteco 11.PL-908-10;11.PL-908-10;plachta zakrıvací  8 x 10 m  s oky 90g/m2;854
Proteco 11.PL-908-12;11.PL-908-12;plachta zakrıvací  8 x 12 m  s oky 90g/m2;1016
Proteco 11.PWB-2100;11.PWB-2100;"spojka na hadici 1/2""";8
Proteco 11.PWB-2101;11.PWB-2101;"redukce na hadici z 3/4"" na 1/2""";16
Proteco 11.PWB-2110;11.PWB-2110;"spojka na hadici 3/4""";13
Proteco 11.PWB-2111;11.PWB-2111;"redukce na hadice z 1"" na 3/4""";33
Proteco 11.PWB-2112;11.PWB-2112;"spojka na hadice 1""";35
Proteco 11.PWB-2120;11.PWB-2120;"rychlospojka 1/2""";13
Proteco 11.PWB-2130;11.PWB-2130;"rychlospojka 3/4""";17
Proteco 11.PWB-2140;11.PWB-2140;"rychlospojka 1/2"" se stopem";13
Proteco 11.PWB-2150;11.PWB-2150;"rychlospojka 3/4"" se stopem";18
Proteco 11.PWB-2185;11.PWB-2185;konektor pøímého napojení;4
Proteco 11.PWB-2195;11.PWB-2195;"nástavec ventilovı 3/4""";5
Proteco 11.PWB-2196;11.PWB-2196;"nástavec ventilovı 1/2""";4
Proteco 11.PWB-2197;11.PWB-2197;"nástavec ventilovı 1""";6
Proteco 11.PWB-2198;11.PWB-2198;"nástavec ventilovı 3/4"" a 1/2""";9
Proteco 11.PWB-2199;11.PWB-2199;"nástavec ventilovı 3/4"" a 1""";10
Proteco 11.PWB-2200;11.PWB-2200;mezikus spojovací pro dvì rychlospojky;7
Proteco 11.PWB-2210;11.PWB-2210;mezikus spojovací pro tøi rychlospojky;8
Proteco 11.PWB-2402;11.PWB-2402;"hubice postøikovací na hadici 1/2""";17
Proteco 11.PWB-4710;11.PWB-4710;hubice postøikovací na rychlospojku;17
Proteco 11.SE2-2PF;11.SE2-2PF;"adaptér s vnitøním závitem 1/4"" mosaz";16
Proteco 11.SE2-2PM;11.SE2-2PM;"adaptér s vnìjším závitem 1/4"" mosaz";13
Proteco 11.SE2-2SF;11.SE2-2SF;"rychlospojka s vnitøním závitem 1/4"" mosaz";63
Proteco 11.SE2-2SM;11.SE2-2SM;"rychlospojka s vnìjším závitem 1/4"" mosaz";54
Proteco 11.SE2-3PF;11.SE2-3PF;"adaptér s vnitøním závitem 3/8"" mosaz";22
Proteco 11.SE2-3PH;11.SE2-3PH;adaptér s koncovkou na hadici 9mm mosaz;15
Proteco 11.SE2-3PM;11.SE2-3PM;"adaptér s vnìjším závitem 3/8"" mosaz";20
Proteco 11.SE2-3SF;11.SE2-3SF;"rychlospojka s vnitøním závitem 3/8"" mosaz";60
Proteco 11.SE2-3SH;11.SE2-3SH;rychlospojka s koncovkou na hadici 9mm mosaz;52
Proteco 11.SE2-3SM;11.SE2-3SM;"rychlospojka s vnìjším závitem 3/8"" mosaz";57
Proteco 11.SE2-4SF;11.SE2-4SF;"rychlospojka s vnitøním závitem 1/2"" mosaz";67
Proteco 11.SE2-4SM;11.SE2-4SM;"rychlospojka s vnìjším závitem 1/2"" mosaz";60
Proteco 11.SP-029;11.SP-029;"roztrojka s vnitøními závity 3/8"" mosaz";125
Proteco 11.SP-030;11.SP-030;"rozdvojka s vnitøními závity 3/8"" mosaz";73
Proteco 11.TS11-25130-B;11.TS11-25130-B;pásek stahovací  2.5 x 130 mm  èernı 100ks;14
Proteco 11.TS11-25130-N;11.TS11-25130-N;pásek stahovací  2.5 x 130 mm  natura 100ks;15
Proteco 11.TS11-25150-B;11.TS11-25150-B;pásek stahovací  2.5 x 150 mm  èernı 100ks;15
Proteco 11.TS11-25150-N;11.TS11-25150-N;pásek stahovací  2.5 x 150 mm  natura 100ks;14
Proteco 11.TS11-25200-B;11.TS11-25200-B;pásek stahovací  2.5 x 200 mm  èernı 100ks;21
Proteco 11.TS11-25200-N;11.TS11-25200-N;pásek stahovací  2.5 x 200 mm  natura 100ks;21
Proteco 11.TS11-36150-B;11.TS11-36150-B;pásek stahovací  3.6 x 150 mm  èernı 100ks;23
Proteco 11.TS11-36150-N;11.TS11-36150-N;pásek stahovací  3.6 x 150 mm  natura 100ks;23
Proteco 11.TS11-36200-B;11.TS11-36200-B;pásek stahovací  3.6 x 200 mm  èernı 100ks;31
Proteco 11.TS11-36200-N;11.TS11-36200-N;pásek stahovací  3.6 x 200 mm  natura 100ks;32
Proteco 11.TS11-36250-B;11.TS11-36250-B;pásek stahovací  3.6 x 250 mm  èernı 100ks;40
Proteco 11.TS11-36250-N;11.TS11-36250-N;pásek stahovací  3.6 x 250 mm  natura 100ks;39
Proteco 11.TS11-36300-B;11.TS11-36300-B;pásek stahovací  3.6 x 300 mm  èernı 100ks;48
Proteco 11.TS11-36300-N;11.TS11-36300-N;pásek stahovací  3.6 x 300 mm  natura 100ks;54
Proteco 11.TS11-36370-B;11.TS11-36370-B;pásek stahovací  3.6 x 370 mm  èernı 100ks;59
Proteco 11.TS11-36370-N;11.TS11-36370-N;pásek stahovací  3.6 x 370 mm  natura 100ks;59
Proteco 11.TS11-48190-B;11.TS11-48190-B;pásek stahovací  4.8 x 190 mm  èernı 100ks;41
Proteco 11.TS11-48190-N;11.TS11-48190-N;pásek stahovací  4.8 x 190 mm  natura 100ks;39
Proteco 11.TS11-48250-B;11.TS11-48250-B;pásek stahovací  4.8 x 250 mm  èernı 100ks;56
Proteco 11.TS11-48250-N;11.TS11-48250-N;pásek stahovací  4.8 x 250 mm  natura 100ks;56
Proteco 11.TS11-48300-B;11.TS11-48300-B;pásek stahovací  4.8 x 300 mm  èernı 100ks;62
Proteco 11.TS11-48300-N;11.TS11-48300-N;pásek stahovací  4.8 x 300 mm  natura 100ks;62
Proteco 11.TS11-48350-B;11.TS11-48350-B;pásek stahovací  4.8 x 350 mm  èernı 100ks;85
Proteco 11.TS11-48350-N;11.TS11-48350-N;pásek stahovací  4.8 x 350 mm  natura 100ks;81
Proteco 11.TS11-48400-B;11.TS11-48400-B;pásek stahovací  4.8 x 400 mm  èernı 100ks;87
Proteco 11.TS11-48450-B;11.TS11-48450-B;pásek stahovací  4.8 x 450 mm  èernı 100ks;106
Proteco 11.TS11-48500-B;11.TS11-48500-B;pásek stahovací  4.8 x 500 mm  èernı 100ks;135
Proteco 11.TS11-76300-B;11.TS11-76300-B;pásek stahovací  7.6 x 300 mm  èernı 100ks;121
Proteco 11.TS11-76400-B;11.TS11-76400-B;pásek stahovací  7.6 x 400 mm  èernı 100ks;155
Proteco 11.TS11-76400-N;11.TS11-76400-N;pásek stahovací  7.6 x 400 mm  natura 100ks;159
Proteco 11.TS11-76450-B;11.TS11-76450-B;pásek stahovací  7.6 x 450 mm  èernı 100ks;188
Proteco 11.TS11-76450-N;11.TS11-76450-N;pásek stahovací  7.6 x 450 mm  natura 100ks;188
Proteco 11.TS11-76550-B;11.TS11-76550-B;pásek stahovací  7.6 x 550 mm  èernı 100ks;265
Proteco 11.TS11-76550-N;11.TS11-76550-N;pásek stahovací  7.6 x 550 mm  natura 100ks;231
Proteco 11.TS11-88750-B;11.TS11-88750-B;pásek stahovací  8.8 x 750 mm  èernı 100ks;422
Proteco 11.TS11-90920-B;11.TS11-90920-B;pásek stahovací  9.0 x 920 mm  èernı 100ks;551
Proteco 11.WL-2100;11.WL-2100;"spojka hadicová 1/2"" WHITE LINE";9
Proteco 11.WL-2101;11.WL-2101;"spojka hadicová 3/4"" - 1/2"" WHITE LINE";17
Proteco 11.WL-2110;11.WL-2110;"spojka hadicová 3/4"" WHITE LINE";15
Proteco 11.WL-2112;11.WL-2112;"spojka hadicová  1"" WHITE LINE";41
Proteco 11.WL-2120;11.WL-2120;"rychlospojka 1/2"" WHITE LINE";14
Proteco 11.WL-2130;11.WL-2130;"rychlospojka 3/4"" WHITE LINE";18
Proteco 11.WL-2140;11.WL-2140;"rychlospojka - stop  1/2"" WHITE LINE";17
Proteco 11.WL-2150;11.WL-2150;"rychlospojka 3/4""  - stop WHITE LINE";19
Proteco 11.WL-2195;11.WL-2195;"nástavec ventilovı  3/4"" WHITE LINE";6
Proteco 11.WL-2196;11.WL-2196;"nástavec ventilovı 1/2"" WHITE LINE";5
Proteco 11.WL-2197;11.WL-2197;"nástavec ventilovı  1"" WHITE LINE";7
Proteco 11.WL-2210;11.WL-2210;"spojka na 3 hadice 1/2""";9
Proteco 11.WL-3/4-50;11.WL-3/4-50;"hadice zahradní 3/4"" 50m WHITE LINE 5-vrstvá";1763
Proteco 11.WL-4710;11.WL-4710;postøikovaè jednoduchı WHITE LINE;13
Proteco 11.WL-EN1T;11.WL-EN1T;pistole postøikovací WHITE LINE STANDART 4-funkèní;67
Proteco 11.WL-EN3T;11.WL-EN3T;pistole postøikovací WHITE LINE PROSTY;80
Proteco 11.WL-EN9T;11.WL-EN9T;pistole postøikovací WHITE LINE EXCLUSIV vícefunkèní;94
Proteco 11.WMS-3/4-50;11.WMS-3/4-50;"hadice zahradní 3/4"" 50m SUNFLEX";822
Proteco 11.WP-3/4-50;11.WP-3/4-50;"hadice zahradní 3/4"" 50m NTS WHITEPLUS 6-vrstvá";2261
Proteco 11.WTH-01GR;11.WTH-01GR;postøikovaè 7-funkèní TRICK HOSE;37
Proteco 27.01-97842;27.01-97842;konev  5 L zahradní plastová  (=42.14-753016);70
Proteco 27.01-97843;27.01-97843;konev 10 L zahradní plastová  (=42.14-753002);86
Proteco 28.03-1016;28.03-1016;spona hadicová šroubovací  10-16mm (=42.14-428051);6
Proteco 28.03-1220;28.03-1220;spona hadicová šroubovací  12-22mm (=42.14-428052);7
Proteco 28.03-1628;28.03-1628;spona hadicová šroubovací  16-28mm (=42.14-428053);7
Proteco 28.03-2032;28.03-2032;spona hadicová šroubovací  20-32mm (=42.14-428054);8
Proteco 28.03-2540;28.03-2540;spona hadicová šroubovací  25-40mm (=42.14-428055);8
Proteco 28.03-3250;28.03-3250;spona hadicová šroubovací  32-50mm (=42.14-428056);9
Proteco 28.03-5070;28.03-5070;spona hadicová šroubovací  50-70mm (=42.14-428057);10
Proteco 34.01-06770;34.01-06770;vìdro zednické plastové 12 L;30
Proteco 34.01-06772;34.01-06772;vìdro zednické plastové 16 L;48
Proteco 34.01-06775;34.01-06775;vìdro zednické plastové 20 L;55
Proteco 42.01-0118016;42.01-0118016;klíè na svíèky 16mm s T rukojetí;101
Proteco 42.01-0118021;42.01-0118021;klíè na svíèky 21mm s T rukojetí;111
Proteco 42.01-01195;42.01-01195;klíè na matice kol køíovı 17,19,21,23;208
Proteco 42.01-01250;42.01-01250;sada bitù 10mm 15-dílná 6HR v plech. kazetì;287
Proteco 42.01-01255;42.01-01255;sada bitù 10mm 15-dílná TRX v plech. kazetì;287
Proteco 42.01-01260;42.01-01260;sada bitù 10mm 11-dílná XZN v plech. kazetì;266
Proteco 42.01-01265;42.01-01265;sada bitù 10mm 40-dílná 6HR,TRX, XZN v plech. kazetì;582
Proteco 42.01-02152;42.01-02152;sada hodináøskıch šroubovákù 6-dílná PH+PL v plast.kaz.;28
Proteco 42.01-03190-2;42.01-03190-2;sada vykruovacích pil v kufru 44,51,57,64,67,73mm;207
Proteco 42.01-04150;42.01-04150;palièka gumová pr.55mm;50
Proteco 42.01-04150B;42.01-04150B;palièka gumová pr.55mm bílá pry;47
Proteco 42.01-04151;42.01-04151;palièka gumová pr.60-65mm;32
Proteco 42.01-04151B;42.01-04151B;palièka gumová pr.65mm bílá pry;59
Proteco 42.01-04152;42.01-04152;palièka gumová pr.90mm;49
Proteco 42.01-04152B;42.01-04152B;palièka gumová pr.90mm bílá pry;103
Proteco 42.01-04300;42.01-04300;sada vyráeèù závlaèek pr.3,4,5,6,7,8;304
Proteco 42.01-05160;42.01-05160;"svìrka pérová plechová 4""";26
Proteco 42.01-05165;42.01-05165;"svìrka pérová plechová 6""";48
Proteco 42.01-06155;42.01-06155;"hasák na trubky ""S"" 1""";174
Proteco 42.01-06156;42.01-06156;"hasák na trubky ""S"" 1.5""";307
Proteco 42.01-06157;42.01-06157;"hasák na trubky ""S"" 2""";515
Proteco 42.01-06236;42.01-06236;kleštì konektorové pøevodové profi 0.25-6.0mm2;619
Proteco 42.01-07195;42.01-07195;øezaè skla s koleèky;44
Proteco 42.01-07225;42.01-07225;pero elektrikáøské ohebné 4m;80
Proteco 42.01-07230;42.01-07230;pero kanalizaèní 5m  (pr. 5 mm);92
Proteco 42.01-07235;42.01-07235;pero kanalizaèní 10m  (pr. 9 mm);362
Proteco 42.01-09305;42.01-09305;sada vytahovaèù zalomenıch šroubù bez vrtákù;41
Proteco 42.01-10140;42.01-10140;sada vykruovacích korunek DIA (33, 53, 67, 73 mm);487
Proteco 42.01-10141;42.01-10141;sada vykruovacích korunek DIA (33, 53, 67, 73, 83 mm) v kufru;849
